GeoAssetID,OwnerCompanyID,Percentage,CompanyName
5039,-1,0.2500,Unknown
5080,-1,0.2900,Unknown
5081,-1,0.0400,Unknown
5085,9,1.0000,Abu Dubai Oil Refining Company
5090,9,1.0000,Abu Dubai Oil Refining Company
5054,18,1.0000,Aden Refinery Company
4703,46,1.0000,Alcoa
4860,46,1.0000,Alcoa
4943,54,1.0000,Alma Petroli
4644,58,1.0000,Alon USA
4783,73,1.0000,American Refining Group
4833,78,1.0000,ANCAP
4949,91,1.0000,Api Anonima Petroli Italiana SpA
4916,94,0.3333,Aquitane
5118,127,1.0000,Attock Refinery
4794,139,1.0000,Axeon SP
5076,143,1.0000,Bahrain Petroleum
5156,148,1.0000,Bangchak Petroleum
5149,150,1.0000,Bangladesh Petroleum Corporation
5095,158,1.0000,Bashneft
5096,158,1.0000,Bashneft
5097,158,1.0000,Bashneft
5128,180,1.0000,Bharat Oman Refineries
5132,181,1.0000,Bharat Petroleum
9731,181,1.0000,Bharat Petroleum
4659,185,1.0000,Big West Oil
5104,204,1.0000,Bosicor Pakistan
5107,204,1.0000,Bosicor Pakistan
5192,209,1.0000,BP
4913,209,1.0000,BP
5013,209,0.5000,BP
5024,209,0.3333,BP
4632,209,1.0000,BP
4627,209,1.0000,BP
4758,209,1.0000,BP
4763,209,0.5000,BP
4878,209,1.0000,BP
4890,209,1.0000,BP
4911,209,1.0000,BP
5264,209,1.0000,BP
9704,221,1.0000,Buckeye Partners
4799,221,1.0000,Buckeye Partners
4727,231,1.0000,Calcasieu Refining Company
5265,236,1.0000,Caltex Australia
4723,237,1.0000,Calumet
4724,237,1.0000,Calumet
4725,237,1.0000,Calumet
4734,237,1.0000,Calumet
4663,237,1.0000,Calumet
4689,237,1.0000,Calumet
4796,249,1.0000,Carlyle Group
4684,260,0.5000,Cenovus
4743,260,0.5000,Cenovus
4852,266,1.0000,Cepsa
4862,266,1.0000,Cepsa
4863,266,1.0000,Cepsa
4864,266,1.0000,Cepsa
15989,266,0.5000,Cepsa
5131,267,1.0000,Ceylon Petroleum Corporation
5134,280,1.0000,Chennai Petroleum Corporation
5130,280,1.0000,Chennai Petroleum Corporation
5159,281,0.6400,ChevTex
5199,281,1.0000,ChevTex
4750,281,1.0000,ChevTex
4754,281,1.0000,ChevTex
4730,281,0.1100,ChevTex
4658,281,1.0000,ChevTex
4631,281,1.0000,ChevTex
4637,281,1.0000,ChevTex
4646,281,1.0000,ChevTex
9716,281,0.3000,ChevTex
4666,297,1.0000,CHS
4692,297,1.0000,CHS
4726,304,1.0000,Citgo
4697,304,1.0000,Citgo
4753,304,1.0000,Citgo
4772,304,1.0000,Citgo
4813,304,1.0000,Citgo
5191,312,1.0000,CNOOC
9652,312,1.0000,CNOOC
9655,312,1.0000,CNOOC
9720,312,1.0000,CNOOC
15979,312,0.5100,CNOOC
16128,312,1.0000,CNOOC
16135,312,1.0000,CNOOC
16144,312,0.3300,CNOOC
16136,313,1.0000,CNPC
16147,313,0.1200,CNPC
16150,313,1.0000,CNPC
16156,313,1.0000,CNPC
16166,313,1.0000,CNPC
16169,313,1.0000,CNPC
16038,313,1.0000,CNPC
16084,313,1.0000,CNPC
16088,313,1.0000,CNPC
9634,313,0.6000,CNPC
9622,313,0.3000,CNPC
5020,313,1.0000,CNPC
5017,313,0.5000,CNPC
5010,313,0.5000,CNPC
5031,313,0.5000,CNPC
4917,313,1.0000,CNPC
4885,320,1.0000,Colas Group
4859,335,1.0000,ConocoPhillips
4760,342,1.0000,Continental Refining
4938,347,1.0000,CORAF
5081,357,0.0200,Cosmo Oil
5245,357,1.0000,Cosmo Oil
5256,357,1.0000,Cosmo Oil
5240,357,1.0000,Cosmo Oil
5247,357,1.0000,Cosmo Oil
15994,357,0.0200,Cosmo Oil
4755,358,1.0000,Countrymark
5204,360,1.0000,CPC Corp Taiwan
5207,360,1.0000,CPC Corp Taiwan
5208,360,1.0000,CPC Corp Taiwan
5215,360,1.0000,CPC Corp Taiwan
4732,363,1.0000,Cross Oil
4769,369,1.0000,Cuba-Petroleo Company
4838,369,1.0000,Cuba-Petroleo Company
5121,369,0.5000,Cuba-Petroleo Company
9657,369,1.0000,Cuba-Petroleo Company
4699,373,1.0000,CVR Energy
4706,373,1.0000,CVR Energy
4707,395,1.0000,Delek
4683,395,1.0000,Delek
4733,395,1.0000,Delek
4735,395,1.0000,Delek
4653,395,1.0000,Delek
4806,449,1.0000,Ecopetrol
4811,449,1.0000,Ecopetrol
4786,449,1.0000,Ecopetrol
4801,449,1.0000,Ecopetrol
4803,449,1.0000,Ecopetrol
16121,449,1.0000,Ecopetrol
9659,456,1.0000,EGPC
5008,456,1.0000,EGPC
5009,456,1.0000,EGPC
5015,456,1.0000,EGPC
5012,456,1.0000,EGPC
5021,456,1.0000,EGPC
5018,456,1.0000,EGPC
5019,456,1.0000,EGPC
7246,472,1.0000,Emirates National Oil
4812,475,1.0000,Empresa Nacional del Petroleo
4809,475,1.0000,Empresa Nacional del Petroleo
4805,475,1.0000,Empresa Nacional del Petroleo
5108,479,1.0000,ENAR Petrotech Services
4930,491,1.0000,ENI
4952,491,0.0800,ENI
4944,491,1.0000,ENI
4919,491,1.0000,ENI
4953,491,1.0000,ENI
4961,491,0.5000,ENI
4966,491,1.0000,ENI
9664,491,0.2000,ENI
16078,506,0.0500,Ergon
4777,506,1.0000,Ergon
4738,506,1.0000,Ergon
4871,510,1.0000,Nayara
5112,510,1.0000,Nayara
5080,529,0.1000,ExxonMobil
5169,529,1.0000,ExxonMobil
4956,529,1.0000,ExxonMobil
4918,529,0.7400,ExxonMobil
4931,529,1.0000,ExxonMobil
5033,529,0.5000,ExxonMobil
5036,529,0.5000,ExxonMobil
4873,529,1.0000,ExxonMobil
4882,529,1.0000,ExxonMobil
4895,529,1.0000,ExxonMobil
4915,529,0.2500,ExxonMobil
4900,529,1.0000,ExxonMobil
4897,529,1.0000,ExxonMobil
4737,529,1.0000,ExxonMobil
4751,529,1.0000,ExxonMobil
4730,529,0.1400,ExxonMobil
4718,529,1.0000,ExxonMobil
4714,529,1.0000,ExxonMobil
4668,529,1.0000,ExxonMobil
9698,529,1.0000,ExxonMobil
5261,529,1.0000,ExxonMobil
4654,550,1.0000,Foreland Refining
5205,551,1.0000,Formosa Plastics
5253,561,1.0000,Fuji Oil Company
4854,566,1.0000,Galp Energia
4855,566,1.0000,Galp Energia
5062,570,1.0000,Gazprom
5117,570,1.0000,Gazprom
5120,570,1.0000,Gazprom
5093,570,1.0000,Gazprom
5032,570,1.0000,Gazprom
4977,570,1.0000,Gazprom
4978,570,1.0000,Gazprom
15967,570,0.5000,Gazprom
4969,585,0.7500,Glencore
4643,615,1.0000,Greka Energy
4971,618,1.0000,Grupa Lotos
5227,624,1.0000,GS Caltex
5212,626,1.0000,Guan Sheng Group 
4935,641,1.0000,Gunvor
4893,641,1.0000,Gunvor
4928,642,1.0000,H & R Group
16101,642,1.0000,H & R Group
5230,647,0.5000,Hanjin
16005,654,0.5000,Hanwha
4981,660,1.0000,Hellenic Petroleum
4985,660,1.0000,Hellenic Petroleum
4988,660,1.0000,Hellenic Petroleum
4989,660,1.0000,Hellenic Petroleum
16003,665,1.0000,Hess
5115,670,1.0000,Hindustan Petroleum
5137,670,1.0000,Hindustan Petroleum
4677,677,1.0000,HollyFrontier
4662,677,1.0000,HollyFrontier
4679,677,1.0000,HollyFrontier
4704,677,1.0000,HollyFrontier
4702,677,1.0000,HollyFrontier
5123,684,1.0000,HPCL-Mittal Energy Limited
4757,689,1.0000,Hunt Oil
4749,689,1.0000,Hunt Oil
4761,691,1.0000,Husky Energy
4763,691,0.5000,Husky Energy
4665,691,1.0000,Husky Energy
4633,691,1.0000,Husky Energy
5224,695,1.0000,Hyundai Oilbank
5248,701,1.0000,Idemitsu
5236,701,1.0000,Idemitsu
5254,701,1.0000,Idemitsu
5259,701,1.0000,Idemitsu
15994,701,0.0200,Idemitsu
4655,708,1.0000,Imperial Oil
4768,708,1.0000,Imperial Oil
4778,708,1.0000,Imperial Oil
4825,708,1.0000,Imperial Oil
4963,712,1.0000,INA
4955,712,1.0000,INA
5125,718,1.0000,Indian Oil
5127,718,1.0000,Indian Oil
5119,718,1.0000,Indian Oil
5147,718,1.0000,Indian Oil
5148,718,1.0000,Indian Oil
5142,718,1.0000,Indian Oil
5143,718,1.0000,Indian Oil
5145,718,1.0000,Indian Oil
5153,718,1.0000,Indian Oil
4901,721,1.0000,Ineos
4868,721,0.5000,Ineos
4920,750,1.0000,Iplom
5055,755,1.0000,Iraq National Oil Company
5051,755,1.0000,Iraq National Oil Company
5052,755,1.0000,Iraq National Oil Company
5047,755,1.0000,Iraq National Oil Company
5061,755,1.0000,Iraq National Oil Company
9719,755,1.0000,Iraq National Oil Company
9668,755,1.0000,Iraq National Oil Company
9669,755,1.0000,Iraq National Oil Company
9670,755,1.0000,Iraq National Oil Company
9671,755,1.0000,Iraq National Oil Company
9672,755,1.0000,Iraq National Oil Company
9673,755,1.0000,Iraq National Oil Company
5162,757,1.0000,IRPC
4817,758,1.0000,Irving
5028,788,1.0000,Jordan Petroleum Refinery
5257,793,1.0000,JX Nippon Oil
5258,793,1.0000,JX Nippon Oil
5255,793,1.0000,JX Nippon Oil
5252,793,1.0000,JX Nippon Oil
5237,793,1.0000,JX Nippon Oil
5235,793,1.0000,JX Nippon Oil
5250,793,1.0000,JX Nippon Oil
5242,793,1.0000,JX Nippon Oil
5239,793,1.0000,JX Nippon Oil
5244,793,1.0000,JX Nippon Oil
15986,793,1.0000,JX Nippon Oil
4645,814,1.0000,Kern Oil & Refining
9703,818,1.0000,Kinder Morgan
4922,822,1.0000,Klesch
4835,823,1.0000,KNOC
4698,829,1.0000,Koch
16057,829,1.0000,Koch
4891,840,1.0000,Kuwait Petroleum
4961,840,0.5000,Kuwait Petroleum
5063,840,1.0000,Kuwait Petroleum
5064,840,1.0000,Kuwait Petroleum
5065,840,1.0000,Kuwait Petroleum
5098,891,1.0000,Lukoil
5089,891,1.0000,Lukoil
4957,891,1.0000,Lukoil
4959,891,1.0000,Lukoil
4960,891,1.0000,Lukoil
5050,891,1.0000,Lukoil
5053,891,1.0000,Lukoil
5011,891,1.0000,Lukoil
4992,891,1.0000,Lukoil
5000,891,1.0000,Lukoil
4889,891,0.5000,Lukoil
9692,891,1.0000,Lukoil
9693,891,1.0000,Lukoil
16173,897,1.0000,Lyondellbasell
4709,897,1.0000,Lyondellbasell
9706,906,1.0000,Magellan Midstream Partners
4798,914,1.0000,Maple Energy
4715,919,1.0000,Marathon Petroleum
4716,919,1.0000,Marathon Petroleum
4770,919,1.0000,Marathon Petroleum
4764,919,1.0000,Marathon Petroleum
4765,919,1.0000,Marathon Petroleum
4756,919,1.0000,Marathon Petroleum
4740,919,1.0000,Marathon Petroleum
15994,932,0.0100,Marubeni
5031,964,0.5000,Ministry of Energy and Mining of Sudan
15994,970,0.0100,Mitsui
16174,980,1.0000,MOL
4965,980,1.0000,MOL
4972,980,1.0000,MOL
4792,985,1.0000,Monroe Energy
4741,992,1.0000,Motiva
4739,992,1.0000,Motiva
4720,992,1.0000,Motiva
4986,993,1.0000,Motor Oil Hellas
5151,1005,1.0000,Myanmar Petrochemical Enterprise
5152,1005,1.0000,Myanmar Petrochemical Enterprise
9679,1005,1.0000,Myanmar Petrochemical Enterprise
5002,1007,1.0000,Naftan
5057,1025,1.0000,National Iranian Oil
5059,1025,1.0000,National Iranian Oil
5094,1025,1.0000,National Iranian Oil
5066,1025,1.0000,National Iranian Oil
5069,1025,1.0000,National Iranian Oil
5077,1025,1.0000,National Iranian Oil
5078,1025,1.0000,National Iranian Oil
5084,1025,1.0000,National Iranian Oil
5087,1025,1.0000,National Iranian Oil
15996,1025,0.1790,National Iranian Oil
15993,1025,1.0000,National Iranian Oil
4990,1026,1.0000,National Oil Corporation
4975,1026,1.0000,National Oil Corporation
4970,1026,1.0000,National Oil Corporation
4980,1026,1.0000,National Oil Corporation
4946,1026,1.0000,National Oil Corporation
4983,1047,1.0000,Neste
4993,1047,1.0000,Neste
15990,1047,0.2500,Neste
9685,1054,1.0000,New Stream Group
5106,1054,1.0000,New Stream Group
4829,1062,0.5000,Nidera Argentina SA
4904,1067,1.0000,Nigerian National Petroleum
4912,1067,1.0000,Nigerian National Petroleum
4914,1067,1.0000,Nigerian National Petroleum
